[1012/134734:INFO:CONSOLE(122)] "No pb .ini found", source:  (122)
[1012/134758:INFO:CONSOLE(1381)] ">>> Intro Event", source: ac://theme/default/js/ui.js (1381)
[1012/134800:INFO:CONSOLE(2225)] "window focused", source: ac://theme/default/js/ui.js (2225)
[1012/134803:INFO:CONSOLE(2235)] "window blurred", source: ac://theme/default/js/ui.js (2235)
[1012/134804:INFO:CONSOLE(1386)] "AC active", source: ac://theme/default/js/ui.js (1386)
[1012/135010:INFO:CONSOLE(2225)] "window focused", source: ac://theme/default/js/ui.js (2225)
[1012/135015:INFO:CONSOLE(2235)] "window blurred", source: ac://theme/default/js/ui.js (2235)
[1012/135112:INFO:CONSOLE(2225)] "window focused", source: ac://theme/default/js/ui.js (2225)
[1012/135113:INFO:CONSOLE(1400)] "AC stopped", source: ac://theme/default/js/ui.js (1400)
[1012/135113:INFO:CONSOLE(279)] "replays: 0 loaded", source: ac://js/__AC.js (279)
[1012/135113:INFO:CONSOLE(2235)] "window blurred", source: ac://theme/default/js/ui.js (2235)
[1012/135121:INFO:CONSOLE(2225)] "window focused", source: ac://theme/default/js/ui.js (2225)
[1012/135230:INFO:CONSOLE(1443)] "ACControlsEvent: Visible, true", source: ac://theme/default/js/ui.js (1443)
[1012/135236:INFO:CONSOLE(2235)] "window blurred", source: ac://theme/default/js/ui.js (2235)
[1012/135435:INFO:CONSOLE(1443)] "ACControlsEvent: Visible, false", source: ac://theme/default/js/ui.js (1443)
[1012/135435:INFO:CONSOLE(1458)] "Applying assists", source: ac://theme/default/js/ui.js (1458)
[1012/135439:INFO:CONSOLE(2225)] "window focused", source: ac://theme/default/js/ui.js (2225)
[1012/135440:INFO:CONSOLE(28)] "UIVideoHandler: playing file:///C:/Games/Assetto%20Corsa/content/career/start.ogv", source:  (28)
[1012/135440:INFO:CONSOLE(1404)] "UICareer2: showing", source:  (1404)
[1012/135507:INFO:CONSOLE(3741)] ">>> changepage ", source: ac://theme/default/js/ui.js (3741)
[1012/135510:INFO:CONSOLE(628)] "UIResults refreshing", source:  (628)
[1012/135510:INFO:CONSOLE(645)] "UIResults populateresult: false", source:  (645)
[1012/135510:INFO:CONSOLE(666)] ">>> UIResults Registered last event: 1697118671808", source:  (666)
[1012/135510:INFO:CONSOLE(1578)] "Displaying results", source: ac://theme/default/js/ui.js (1578)
[1012/135510:INFO:CONSOLE(687)] ">>> UIResults, invalid: true populateresult:false", source:  (687)
[1012/135510:INFO:CONSOLE(693)] "Invalid results", source:  (693)
[1012/135510:INFO:CONSOLE(1374)] "UICareer2: hiding", source:  (1374)
[1012/135510:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135510:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135510:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135510:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135510:INFO:CONSOLE(2900)] "setting race laps to: 5", source: ac://theme/default/js/ui.js (2900)
[1012/135512:INFO:CONSOLE(1404)] "UICareer2: showing", source:  (1404)
[1012/135514:INFO:CONSOLE(628)] "UIResults refreshing", source:  (628)
[1012/135514:INFO:CONSOLE(645)] "UIResults populateresult: false", source:  (645)
[1012/135514:INFO:CONSOLE(687)] ">>> UIResults, invalid: true populateresult:false", source:  (687)
[1012/135514:INFO:CONSOLE(693)] "Invalid results", source:  (693)
[1012/135514:INFO:CONSOLE(1374)] "UICareer2: hiding", source:  (1374)
[1012/135514:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135514:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135514:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135514:INFO:CONSOLE(2926)] "0.125", source: ac://theme/default/js/ui.js (2926)
[1012/135514:INFO:CONSOLE(2900)] "setting race laps to: 5", source: ac://theme/default/js/ui.js (2900)
[1012/135514:INFO:CONSOLE(573)] "restoring previous session: timeattack", source: ac://theme/default/js/ui.js (573)
[1012/135514:INFO:CONSOLE(4604)] "setting session type to: timeattack", source: ac://theme/default/js/ui.js (4604)
[1012/135514:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/135515:INFO:CONSOLE(440)] ">>> Summary redraw: opponents", source: ac://theme/default/js/ui.js (440)
[1012/135515:INFO:CONSOLE(1724)] "clicked filter tracks", source: ac://theme/default/js/ui.js (1724)
[1012/135515:INFO:CONSOLE(1831)] "track tag selected: all", source: ac://theme/default/js/ui.js (1831)
